SUBJECT_CUI,PREDICATE,OBJECT_CUI,frequency,Source,SUBJECT_SEMTYPE,OBJECT_SEMTYPE
C1515075,USES,C0302583,6140.0,SemMedDB,topp,"bacs,phsu"
C1260969,USES,C0772162,6128.0,SemMedDB,medd,phsu
C0087111,TREATS,C0006142,6072.0,SemMedDB,topp,neop
C0087111,TREATS,C1257890,6060.0,SemMedDB,topp,"humn,popg"
C0034618,TREATS,C0006826,6042.0,SemMedDB,topp,neop
C0679670,USES,C0183210,5944.0,SemMedDB,popg,medd
C0871685,TREATS,C0030705,5857.0,SemMedDB,prog,podg
C0023810,AUGMENTS,C0024432,5792.0,SemMedDB,"lipd,orch",cell
C0162522,TREATS,C0030705,5763.0,SemMedDB,topp,"humn,podg"
C0085198,TREATS,C0030705,5724.0,SemMedDB,topp,"humn,podg"
C1293131,TREATS,C0030705,5718.0,SemMedDB,topp,"humn,podg"
C0087111,USES,C0008838,5718.0,SemMedDB,topp,"inch,phsu"
C0087111,USES,C0014939,5709.0,SemMedDB,topp,"horm,phsu"
C1273869,TREATS,C0027361,5576.0,SemMedDB,hlca,"humn,popg"
C0085533,TREATS,C0030705,5519.0,SemMedDB,topp,"humn,podg"
C0018821,TREATS,C0030705,5514.0,SemMedDB,topp,"humn,podg"
C0199176,TREATS,C0030705,5437.0,SemMedDB,topp,"humn,podg"
C1514821,USES,C0025086,5406.0,SemMedDB,hlca,diap
C1510438,USES,C0008562,5397.0,SemMedDB,lbpr,lbpr
C0087111,TREATS,C0027651,5390.0,SemMedDB,topp,neop
C0087111,USES,C0039286,5378.0,SemMedDB,topp,"orch,phsu"
C0021107,USES,C0181598,5369.0,SemMedDB,topp,medd
C0013216,TREATS,C0006826,5317.0,SemMedDB,topp,neop
C1139930,USES,C0001771,5284.0,SemMedDB,medd,"carb,phsu"
C0087111,USES,C0733470|3439,5272.0,SemMedDB,topp,"aapp,phsu"
C0023928,TREATS,C0030705,5242.0,SemMedDB,topp,"humn,podg"
C1533685,USES,C0037494,5240.0,SemMedDB,topp,"bacs,inch,phsu"
C0023038,TREATS,C0030705,5230.0,SemMedDB,topp,"humn,podg"
C0016642,USES,C0005971,5221.0,SemMedDB,topp,medd
C0019993,TREATS,C0018801,5207.0,SemMedDB,hlca,dsyn
C0040808,USES,C0003232,5168.0,SemMedDB,"resa,topp",antb
C0087111,USES,C0023810,5145.0,SemMedDB,topp,lipd
C0039593,USES,C0032520,5139.0,SemMedDB,resa,"lbpr,mbrt"
C0850292,TREATS,C0030705,5130.0,SemMedDB,topp,"humn,podg"
C0008550,USES,C0022023,5129.0,SemMedDB,lbpr,elii
C1456587,TREATS,C0030705,5125.0,SemMedDB,topp,"humn,podg"
C0087111,USES,C0004057,5124.0,SemMedDB,topp,"orch,phsu"
C0087111,USES,C0012544,5084.0,SemMedDB,topp,"opco,phsu"
C0023810,AUGMENTS,C0007634,5074.0,SemMedDB,"lipd,orch",cell
C0087111,USES,C0243192,5068.0,SemMedDB,topp,phsu
C0035139,USES,C0042296,5053.0,SemMedDB,topp,medd
C0087111,USES,C0003402,5033.0,SemMedDB,topp,phsu
C0677850,TREATS,C0030705,5020.0,SemMedDB,topp,"humn,podg"
C0796392,TREATS,C0030705,5009.0,SemMedDB,"aapp,imft,phsu","humn,podg"
C0150775,USES,C0220905,4991.0,SemMedDB,popg,rnlw
C0010583,TREATS,C0030705,4978.0,SemMedDB,"opco,orch,phsu","humn,podg"
C0087111,USES,C0039601,4962.0,SemMedDB,topp,"horm,phsu"
C1532338,TREATS,C1536220,4853.0,SemMedDB,topp,dsyn
C0037812,USES,C0260061,4847.0,SemMedDB,lbpr,lbpr
C0087111,USES,C0025598,4775.0,SemMedDB,topp,"orch,phsu"
C0005525,TREATS,C0030705,4771.0,SemMedDB,"imft,phsu","humn,podg"
C1510438,USES,C1511790,4756.0,SemMedDB,lbpr,topp
C0008972,USES,C0282611,4755.0,SemMedDB,resa,medd
C0021083,TREATS,C0030705,4715.0,SemMedDB,topp,"humn,podg"
C0728940,TREATS,C0019204,4709.0,SemMedDB,topp,neop
C0087111,USES,C0023570,4696.0,SemMedDB,topp,"aapp,phsu"
C0012737,TREATS,C0030705,4692.0,SemMedDB,topp,"humn,podg"
C0035525,TREATS,C0030705,4686.0,SemMedDB,"nnon,phsu","humn,podg"
C0031809,TREATS,C0030705,4684.0,SemMedDB,hlca,"humn,podg"
C1515075,USES,C0043481,4641.0,SemMedDB,topp,phsu
C0018823,TREATS,C0030705,4624.0,SemMedDB,topp,"humn,podg"
C1511790,USES,C0600364,4611.0,SemMedDB,topp,"medd,resd"
C0013227,TREATS,C0008059,4597.0,SemMedDB,phsu,"aggp,humn"
C0543467,TREATS,C0043210,4584.0,SemMedDB,topp,"humn,popg"
C1510438,USES,C0021069,4577.0,SemMedDB,lbpr,lbpr
C0543467,TREATS,C0006826,4574.0,SemMedDB,topp,neop
C0001645,TREATS,C0030705,4523.0,SemMedDB,phsu,"humn,podg"
C0087111,USES,C0043031,4501.0,SemMedDB,topp,"hops,orch,phsu"
C0017725,TREATS,C0030705,4489.0,SemMedDB,"bacs,carb,orch,phsu","humn,podg"
C0043031,TREATS,C0030705,4489.0,SemMedDB,"hops,orch,phsu","humn,podg"
C0679637,TREATS,C0030705,4477.0,SemMedDB,topp,"humn,podg"
C0087111,USES,C0012155,4475.0,SemMedDB,topp,food
C0087111,USES,C0242402,4452.0,SemMedDB,topp,"hops,phsu"
C0008320,TREATS,C0030705,4449.0,SemMedDB,topp,"humn,podg"
C0008972,USES,C0026339,4439.0,SemMedDB,resa,resd
C2711836,TREATS,C0030705,4438.0,SemMedDB,topp,"humn,podg"
C1533685,USES,C0023810,4400.0,SemMedDB,topp,lipd
C0013216,TREATS,C0007131,4373.0,SemMedDB,topp,neop
C1533685,USES,C0001962,4370.0,SemMedDB,topp,"orch,phsu"
C0751429,TREATS,C0030705,4366.0,SemMedDB,topp,"humn,podg"
C1441506,USES,C0026336,4361.0,SemMedDB,lbpr,"inpr,resd"
C0030705,USES,C0021102,4359.0,SemMedDB,"humn,podg",medd
C0016360,TREATS,C0030705,4351.0,SemMedDB,"nnon,phsu","humn,podg"
C0087111,USES,C0025677,4340.0,SemMedDB,topp,"orch,phsu"
C0011900,USES,C0041618,4337.0,SemMedDB,hlca,diap
C0087111,USES,C0003195,4336.0,SemMedDB,topp,phsu
C0666743,TREATS,C0030705,4331.0,SemMedDB,"aapp,imft,phsu","humn,podg"
C0010592,TREATS,C0030705,4321.0,SemMedDB,"aapp,phsu","humn,podg"
C1533685,USES,C0006055,4318.0,SemMedDB,topp,phsu
C0087111,USES,C0037663,4263.0,SemMedDB,topp,aapp
C0030705,USES,C0162589,4257.0,SemMedDB,podg,medd
C0087111,USES,C0001645,4243.0,SemMedDB,topp,phsu
C0036589,USES,C0009170,4240.0,SemMedDB,topp,phsu
C0741847,TREATS,C0030705,4232.0,SemMedDB,topp,"humn,podg"
C0242603,TREATS,C0030705,4231.0,SemMedDB,topp,"humn,podg"
C0752046,COEXISTS_WITH,C0017337,4225.0,SemMedDB,nusq,"aapp,gngm"
C0002688,TREATS,C0030705,4225.0,SemMedDB,topp,"humn,podg"
C0003281,TREATS,C0030705,4219.0,SemMedDB,topp,"humn,podg"
C0360714,TREATS,C0030705,4208.0,SemMedDB,"orch,phsu","humn,podg"
C0681814,USES,C0040669,4200.0,SemMedDB,resa,mbrt
C0087111,TREATS,C0001675,4178.0,SemMedDB,topp,"aggp,humn"
C0013103,TREATS,C0030705,4177.0,SemMedDB,topp,"humn,podg"
C0936012,USES,C0598442,4167.0,SemMedDB,resa,medd
C0002915,TREATS,C0030705,4166.0,SemMedDB,topp,"humn,podg"
C0543467,TREATS,C0012634,4155.0,SemMedDB,topp,dsyn
C0354604,TREATS,C0030705,4149.0,SemMedDB,"orch,phsu","humn,podg"
C0087111,TREATS,C0011860,4146.0,SemMedDB,topp,dsyn
C0025598,TREATS,C0030705,4133.0,SemMedDB,"orch,phsu","humn,podg"
C1261322,TREATS,C0008059,4107.0,SemMedDB,hlca,"aggp,humn"
C0040615,TREATS,C0030705,4105.0,SemMedDB,phsu,"humn,podg"
C0681814,USES,C0026336,4099.0,SemMedDB,resa,"inpr,resd"
C1511790,USES,C0183210,4098.0,SemMedDB,topp,medd
C0087111,USES,C0393022,4090.0,SemMedDB,topp,"aapp,gngm,imft,phsu"
C1533685,TREATS,C0034693,4090.0,SemMedDB,topp,mamm
C0185115,TREATS,C0030705,4057.0,SemMedDB,topp,"humn,podg"
C0144576,TREATS,C0030705,4057.0,SemMedDB,"orch,phsu","humn,podg"
C0087111,USES,C0596087,4039.0,SemMedDB,topp,"bacs,phsu"
C0021107,USES,C0005975,4024.0,SemMedDB,topp,medd
C0087111,TREATS,C0020538,4020.0,SemMedDB,topp,dsyn
C0040145,TREATS,C0030705,3984.0,SemMedDB,topp,"humn,podg"
C0007389,TREATS,C0030705,3983.0,SemMedDB,topp,"humn,podg"
C0008972,USES,C0032520,3965.0,SemMedDB,resa,"lbpr,mbrt"
C0087111,USES,C0014912,3964.0,SemMedDB,topp,"horm,phsu"
C0008059,USES,C0009199,3962.0,SemMedDB,"aggp,humn",medd
C0001551,TREATS,C0030705,3908.0,SemMedDB,"imft,phsu","humn,podg"
C0936012,USES,C0599161,3902.0,SemMedDB,resa,mbrt
C0017725,AUGMENTS,C1256369,3893.0,SemMedDB,"bacs,carb,orch,phsu",celf
C0031139,TREATS,C0030705,3890.0,SemMedDB,topp,"humn,podg"
C0015357,TREATS,C0030705,3882.0,SemMedDB,topp,"humn,podg"
C0024881,TREATS,C0030705,3880.0,SemMedDB,topp,"humn,podg"
C0030705,USES,C0181598,3868.0,SemMedDB,podg,medd
C0017118,TREATS,C0024623,3867.0,SemMedDB,topp,neop
C0087111,USES,C0021747,3864.0,SemMedDB,topp,"aapp,phsu"
C1511790,USES,C0182400,3844.0,SemMedDB,topp,medd
C0087111,USES,C0666743,3814.0,SemMedDB,topp,"aapp,phsu"
C0037813,USES,C1719039,3814.0,SemMedDB,lbpr,lbpr
C0162578,TREATS,C0030705,3811.0,SemMedDB,topp,podg
C0184661,TREATS,C0008059,3801.0,SemMedDB,"hlca,topp","aggp,humn"
C0070166,TREATS,C0030705,3799.0,SemMedDB,"orch,phsu","humn,podg"
C0013227,TREATS,C0006826,3795.0,SemMedDB,phsu,neop
C0087111,TREATS,C0011581,3794.0,SemMedDB,topp,mobd
C0030231,TREATS,C0030705,3787.0,SemMedDB,"hlca,topp","humn,podg"
C0162577,TREATS,C0030705,3781.0,SemMedDB,topp,"humn,podg"
C0087111,TREATS,C0027361,3780.0,SemMedDB,topp,"humn,popg"
C0034618,TREATS,C0006142,3766.0,SemMedDB,topp,neop
C0194411,TREATS,C0030705,3757.0,SemMedDB,topp,"humn,podg"
C0246415,TREATS,C0030705,3748.0,SemMedDB,"orch,phsu","humn,podg"
C0796679,TREATS,C0019204,3744.0,SemMedDB,topp,neop
C0087111,USES,C0023870,3725.0,SemMedDB,topp,"elii,phsu"
C0087111,USES,C0025219,3712.0,SemMedDB,topp,"horm,phsu"
C0087111,USES,C0040845,3683.0,SemMedDB,topp,"orch,phsu"
C0016642,TREATS,C0030705,3679.0,SemMedDB,topp,"humn,podg"
C0003015,TREATS,C0030705,3678.0,SemMedDB,phsu,"humn,podg"
C1261322,USES,C0024485,3672.0,SemMedDB,hlca,diap
C0087111,USES,C0279516,3670.0,SemMedDB,topp,antb
C1101610,ASSOCIATED_WITH,C0006826,3654.0,SemMedDB,bacs,neop
C0010280,TREATS,C0030705,3653.0,SemMedDB,topp,"humn,podg"
C0199470,TREATS,C0030705,3652.0,SemMedDB,topp,"humn,podg"
C0202850,USES,C1441526,3647.0,SemMedDB,diap,lbpr
C0002766,TREATS,C0030705,3646.0,SemMedDB,topp,"humn,podg"
C0087111,USES,C0037494,3644.0,SemMedDB,topp,"bacs,inch,phsu"
C0087111,TREATS,C0003873,3633.0,SemMedDB,topp,dsyn
C0394162,TREATS,C0030567,3630.0,SemMedDB,topp,dsyn
C1532338,TREATS,C0027051,3613.0,SemMedDB,topp,dsyn
C0011777,TREATS,C0030705,3606.0,SemMedDB,"orch,phsu","humn,podg"
C0087111,TREATS,C0237401,3603.0,SemMedDB,topp,"grup,humn"
C0008562,USES,C0728475,3600.0,SemMedDB,lbpr,medd
C0087111,TREATS,C0018801,3591.0,SemMedDB,topp,dsyn
C0040615,TREATS,C0036341,3581.0,SemMedDB,phsu,mobd
C0025677,TREATS,C0003873,3580.0,SemMedDB,"orch,phsu",dsyn
C0037995,TREATS,C0030705,3575.0,SemMedDB,topp,"humn,podg"
C0045093,TREATS,C0030705,3569.0,SemMedDB,"nnon,phsu","humn,podg"
C0003289,TREATS,C0030705,3563.0,SemMedDB,phsu,"humn,podg"
C0087111,TREATS,C0030193,3557.0,SemMedDB,topp,sosy
C0087111,PREVENTS,C0009566,3545.0,SemMedDB,topp,patf
C0543467,TREATS,C0006142,3533.0,SemMedDB,topp,neop
C0936012,USES,C0162788,3529.0,SemMedDB,resa,"lbpr,mbrt"
C0021153,TREATS,C0030705,3517.0,SemMedDB,topp,"humn,podg"
C0003232,TREATS,C0021311,3512.0,SemMedDB,antb,dsyn
C0001962,TREATS,C0034693,3500.0,SemMedDB,"orch,phsu",mamm
C0087111,USES,C0003280,3500.0,SemMedDB,topp,phsu
C0021107,USES,C1322815,3497.0,SemMedDB,topp,medd
C0029468,TREATS,C0030705,3496.0,SemMedDB,topp,"humn,podg"
C1515075,TREATS,C0030705,3494.0,SemMedDB,topp,"humn,podg"
C0034618,TREATS,C0027651,3477.0,SemMedDB,topp,neop
C0087111,USES,C1527392,3476.0,SemMedDB,topp,"imft,phsu"
C1510438,USES,C0031727,3467.0,SemMedDB,lbpr,"aapp,gngm"
C0600558,TREATS,C0030705,3462.0,SemMedDB,topp,podg
C0087111,TREATS,C0004096,3461.0,SemMedDB,topp,dsyn
C0011900,USES,C0043299,3438.0,SemMedDB,hlca,diap
C0013216,TREATS,C0877373,3430.0,SemMedDB,topp,neop
C0681797,USES,C0087111,3429.0,SemMedDB,resa,topp
C0087111,USES,C0935989,3428.0,SemMedDB,topp,"orch,phsu"
C0042903,TREATS,C0030705,3409.0,SemMedDB,topp,"humn,podg"
C0032952,TREATS,C0030705,3382.0,SemMedDB,"horm,orch,phsu","humn,podg"
C0087111,USES,C0035525,3376.0,SemMedDB,topp,"nnon,phsu"
C0007634,PRODUCES,C0079189,3374.0,SemMedDB,cell,"aapp,gngm,imft"
C1273869,TREATS,C0043210,3350.0,SemMedDB,hlca,"humn,popg"
C0040808,USES,C0087111,3344.0,SemMedDB,"resa,topp",topp
C0032143,TREATS,C0030705,3325.0,SemMedDB,"aapp,phsu",podg
C0087111,USES,C0041236,3324.0,SemMedDB,topp,aapp
C0087111,USES,C0002199,3321.0,SemMedDB,topp,"aapp,phsu"
C0087111,USES,C0302583,3304.0,SemMedDB,topp,"bacs,phsu"
C0796679,TREATS,C0030705,3283.0,SemMedDB,topp,"humn,podg"
C0162563,TREATS,C0004238,3273.0,SemMedDB,topp,"dsyn,patf"
C0087111,TREATS,C0026769,3272.0,SemMedDB,topp,dsyn
C0024203,TREATS,C0030705,3269.0,SemMedDB,topp,podg
C0087111,TREATS,C0021311,3259.0,SemMedDB,topp,dsyn
C1510438,USES,C1449705,3252.0,SemMedDB,lbpr,lbpr
C0013227,TREATS,C1457887,3250.0,SemMedDB,phsu,sosy
C0543467,TREATS,C0027651,3243.0,SemMedDB,topp,neop
C0935989,TREATS,C0030705,3240.0,SemMedDB,"orch,phsu","humn,podg"
C1319309,USES,C0885297,3223.0,SemMedDB,lbpr,phsu
C0728940,TREATS,C0027651,3212.0,SemMedDB,topp,neop
C0013227,TREATS,C0020538,3206.0,SemMedDB,phsu,dsyn
C0087111,TREATS,C0007131,3206.0,SemMedDB,topp,neop
C0199176,USES,C1136254,3191.0,SemMedDB,topp,phsu
C0011079,TREATS,C0030705,3188.0,SemMedDB,topp,"humn,podg"
C0394162,TREATS,C0030705,3188.0,SemMedDB,topp,"humn,podg"
C1510438,USES,C0016352,3183.0,SemMedDB,lbpr,lbpr
C1273869,TREATS,C1257890,3175.0,SemMedDB,hlca,"humn,popg"
C0162801,USES,C0035899,3168.0,SemMedDB,lbpr,aapp
C0021747,TREATS,C0030705,3164.0,SemMedDB,"aapp,imft,phsu","humn,podg"
C0011900,TREATS,C0008059,3150.0,SemMedDB,hlca,"aggp,humn"
C0087111,USES,C0085297,3146.0,SemMedDB,topp,"aapp,phsu"
C0007202,TREATS,C0030705,3140.0,SemMedDB,topp,"humn,podg"
C0014099,TREATS,C0030705,3139.0,SemMedDB,topp,"humn,podg"
C0030705,USES,C0018717,3135.0,SemMedDB,podg,rnlw
C0418981,TREATS,C0030705,3127.0,SemMedDB,topp,"humn,podg"
C0027695,TREATS,C0030705,3124.0,SemMedDB,topp,podg
C1532338,TREATS,C0948089,3123.0,SemMedDB,topp,dsyn
C1510438,USES,C0037805,3118.0,SemMedDB,lbpr,lbpr
C1532338,TREATS,C0155626,3118.0,SemMedDB,topp,dsyn
C1516119,TREATS,C0030705,3116.0,SemMedDB,"orch,phsu","humn,podg"
C1261322,USES,C0013516,3115.0,SemMedDB,hlca,diap
C0085203,TREATS,C0030705,3101.0,SemMedDB,topp,"humn,podg"
C1708063,TREATS,C0030705,3097.0,SemMedDB,topp,"humn,podg"
C0087111,USES,C0003250,3097.0,SemMedDB,topp,"aapp,gngm"
C0396565,TREATS,C0030705,3093.0,SemMedDB,topp,"humn,podg"
C0037812,USES,C1571809,3088.0,SemMedDB,lbpr,topp
C0039286,TREATS,C0030705,3078.0,SemMedDB,"orch,phsu","humn,podg"
C0087111,USES,C0016360,3077.0,SemMedDB,topp,"nnon,phsu"
C0175649,TREATS,C0030705,3066.0,SemMedDB,medd,"humn,podg"
C0008972,USES,C0243077,3058.0,SemMedDB,resa,chvf
C0087111,USES,C0026549,3056.0,SemMedDB,topp,"orch,phsu"
C0087111,TREATS,C0221198,3056.0,SemMedDB,topp,fndg
C0582175,TREATS,C0030705,3053.0,SemMedDB,prog,podg
C0543467,USES,C0182639,3051.0,SemMedDB,topp,medd
C0936012,USES,C0262878,3047.0,SemMedDB,resa,medd
C1167956,TREATS,C0030705,3044.0,SemMedDB,topp,"humn,podg"
C0162563,TREATS,C0030705,3043.0,SemMedDB,topp,"humn,podg"
C0194810,TREATS,C0376358,3037.0,SemMedDB,topp,neop
C0857127,TREATS,C0026809,3036.0,SemMedDB,topp,mamm
C0728940,TREATS,C0007113,3026.0,SemMedDB,topp,neop
C0199451,TREATS,C0030705,3014.0,SemMedDB,topp,"humn,podg"
C0025598,TREATS,C0011860,3013.0,SemMedDB,"orch,phsu",dsyn
C0547070,TREATS,C0004238,3010.0,SemMedDB,topp,"dsyn,patf"
C1504389,TREATS,C0030705,3000.0,SemMedDB,topp,"humn,podg"
C0199451,TREATS,C0520679,2996.0,SemMedDB,topp,dsyn
C1533685,TREATS,C0026809,2994.0,SemMedDB,topp,mamm
C1510438,USES,C0003241,2992.0,SemMedDB,lbpr,"aapp,gngm,imft,phsu"
C0017337,ASSOCIATED_WITH,C0012634,2991.0,SemMedDB,"aapp,gngm",dsyn
C0034618,TREATS,C0376358,2986.0,SemMedDB,topp,neop
C0021044,USES,C0003241,2986.0,SemMedDB,"diap,lbpr","aapp,gngm,phsu"
C0085076,TREATS,C0030705,2985.0,SemMedDB,topp,"humn,podg"
C1457887,ASSOCIATED_WITH,C0012634,2979.0,SemMedDB,sosy,dsyn
C0023690,USES,C0175723,2968.0,SemMedDB,topp,medd
C0087111,USES,C0003242,2963.0,SemMedDB,topp,"aapp,gngm"
C0087111,TREATS,C0376358,2959.0,SemMedDB,topp,neop
C0005558,USES,C0182555,2958.0,SemMedDB,diap,medd
C0857127,TREATS,C0030705,2951.0,SemMedDB,topp,"humn,podg"
C0302583,TREATS,C0030705,2924.0,SemMedDB,"bacs,elii,phsu","humn,podg"
