SUBJECT_CUI,OBJECT_CUI
C0164398,C0002395
C0246269,C0917798
C0031392,C0013390
C0025677,C0343402
C1999375,C0426639
C0001644,C0856695
C4330502,C0241961
C0069753,C0003872
C4507236,C0600041
C0216784,C0151740
C0030077,C0032463
C0035527,C0162568
C0003360,C0024305
C0001655,C0271066
C0012086,C0338396
C0050940,C0272373
C4055380,C0026838
C0913469,C0400877
C0032601,C0029443
C4694273,C0474368
C0073917,C0423234
C4307886,C0023895
C0663448,C1609535
C0032831,C0005697
C0377349,C0027022
C2742587,C2316460
C1739462,C0030578
C0007737,C0936215
C1096768,C1283620
C0002335,C0267167
C0057610,C0746883
C0052416,C0018022
C0033511,C0238463
C0013036,C0341558
C0002563,C0014488
C0001367,C2973725
C0003385,C0341106
C0796545,C0152936
C1567753,C0011974
C0249582,C0033687
C0040778,C0234974
C0003442,C0007222
C0772394,C0152945
C0008803,C0152967
C0040975,C0034065
C0071304,C0007847
C0304497,C0040425
C0003018,C0339317
C0296800,C0034155
C0012383,C1527407
C0524095,C0037036
C0242913,C0043092
C0001367,C1562543
C0025826,C0003950
C0527379,C4708167
C0003370,C0014553
C0971579,C0041466
C3713057,C0019247
C0011185,C0233485
C0750848,C0151467
C0006864,C1565489
C0000970,C0520679
C0025042,C0342826
C0379200,C0040034
C0014942,C0242339
C2606556,C0023786
C0007036,C0948245
C0043047,C0686510
C0038670,C0150045
C0022949,C0085166
C2001867,C0221392
C0249458,C0032290
C2353951,C0030319
C0007080,C0740447
C0039771,C0040015
C1144403,C0019163
C4279743,C0243002
C0208216,C0036330
C0003448,C0948896
C5848169,C0349734
C2698291,C0031099
C0008838,C0017418
C1145759,C0152936
C1565316,C0393819
C0052796,C0010543
C0246719,C0042025
C0041056,C0339296
C0070122,C0079773
C4746084,C3163829
C0061330,C0013882
C0032911,C0014121
C0076891,C1168250
C4078709,C0027404
C0535459,C5192106
C0013983,C0241910
C0059690,C0000786
C0037663,C0023465
C0010467,C0014547
C0717758,C0745138
C0003779,C0042373
C0108342,C0009770
C0146011,C0031157
C0028902,C0033038
C4045494,C0221765
C0053111,C0554628
C0018026,C0457949
C0004147,C0421162
C1831731,C4708695
C2935436,C0042510
C0085297,C0022116
C0012522,C0151686
C0040160,C0011884
C0076456,C0262380
C0031978,C0030201
C0013089,C0153252
C3696416,C0036421
C5139788,C0011334
C1881129,C0206062
C3273807,C0005940
C0000992,C0017536
C0674428,C0022340
C0038745,C0042487
C0065636,C0042514
C0376541,C0041472
C4519323,C0041228
C0209738,C0014742
C0009316,C0085083
C0069739,C0021167
C0003596,C0006287
C3273827,C0184567
C0165032,C0036421
C0068367,C4288754
C4079904,C0015371
C1620287,C0010054
C0025386,C0746883
C4078806,C3839346
C1882138,C0003615
C0163557,C0007384
C2980074,C0085610
C0024027,C0019147
C0074493,C0003872
C1704271,C0019655
C0043047,C0019163
C0085251,C0031511
C0077081,C0741292
C1872427,C0149756
C0065295,C0349734
C4688747,C0002962
C0066685,C0019348
C0771311,C0031485
C0003402,C0085606
C0008777,C0027404
C0657912,C1278797
C0027235,C0011974
C0300205,C0343337
C0039644,C0426639
C2604635,C0393760
C4055417,C0162810
C0114771,C0238111
C0057144,C0031090
C0003385,C0520679
C0070620,C0006846
C1145760,C0018213
C0292818,C0549398
C2742587,C0004031
C2698448,C0151874
C0033493,C0278987
C0126789,C0006271
C0018513,C0011608
C0039834,C0006849
C0060580,C0027404
C2697961,C0019196
C0360172,C0085656
C0025893,C0005587
C3714572,C0036323
C0301527,C1621958
C1443650,C0017152
C1567130,C0019163
C0540694,C0021167
C0069709,C0403425
C0210630,C0038525
C3653189,C0011991
C0010976,C0021355
C2364481,C0156393
C0002607,C0010032
C1098510,C0033774
C0060241,C0022951
C0002260,C0585442
C0302609,C3163805
C2698764,C0037354
C0066535,C1275317
C0002772,C0271623
C1609686,C0233523
C0060504,C0577709
C0666079,C1531702
C2001572,C0043515
C4542171,C0003850
C0004599,C0026987
C0072315,C0020542
C0256103,C0011848
C0006931,C0854248
C0615823,C0085631
C0074710,C0339932
C0140594,C1274228
C0069562,C3536984
C0936148,C0023976
C0012022,C0016034
C0040373,C0033845
C3253985,C0030568
C1831828,C0162568
C1170000,C0024894
C0966500,C0003492
C0044410,C0042875
C0035661,C0014488
C0015491,C0039240
C4042342,C0151940
C0719064,C0043037
C0359086,C0020649
C0026187,C0079744
C0068475,C0002831
C0003138,C0011633
C0038317,C0020598
C1142985,C0020179
C0595267,C1504336
C0018033,C0014742
C0252643,C0009766
C0220821,C0011881
C0021547,C1960764
C0054235,C0343500
C0027324,C3875321
C0025153,C0036690
C0071074,C1318973
C0301366,C0024790
C3852726,C1261473
C0022059,C0398623
C0171302,C0010543
C0055477,C0040553
C0521941,C0577708
C2347624,C4510691
C0029997,C0025218
C0360172,C0029453
C0055021,C0085096
C0033209,C0018799
C0028094,C0239295
C3661283,C2887088
C0011785,C0233523
C0025147,C0005683
C0288165,C0025007
C0011145,C0221154
C0378482,C0472713
C4086553,C0040921
C0068334,C1273489
C0358591,C0037195
C0018034,C0278987
C0016410,C0024894
C0010620,C0275793
C0144576,C0030636
C1302054,C0001125
C0121902,C4302554
C2698280,C0085278
C1518041,C0267919
C0052772,C1562029
C0055904,C0079774
C0076891,C0002103
C0006938,C0034362
C4746084,C0021141
C0216231,C0019099
C3273827,C0016436
C4542171,C0339933
C0216784,C0040517
C0051607,C0494475
C0014987,C1261473
C0069628,C0031485
C0017687,C0041472
C1143018,C0024588
C2001271,C0020598
C0525005,C1274988
C4519269,C0849907
C0379200,C0005684
C0052865,C0004030
C0032483,C0017418
C2986924,C0027819
C4287815,C0333519
C0051809,C0549315
C0002844,C0153601
C0209368,C0022340
C0003370,C0238052
C2744960,C0029134
C0076110,C0031046
C0007551,C0238462
C0039736,C0004623
C0286738,C2711653
C0010590,C0234925
C0004521,C0153289
C1456408,C0036130
C0939241,C0206504
C3252090,C0743332
C0765538,C0040921
C0143993,C0019147
C0030883,C0007222
C0064987,C0149931
C0007248,C0023440
C0068395,C0751956
C2350656,C0398623
C0066139,C0563269
C3195420,C0030578
C0030830,C0017665
C0246719,C0013312
C2983812,C0585442
C0042682,C0020626
C0002772,C0040127
C4049065,C0236663
C1876229,C0426639
C3264621,C0729586
C0042845,C0019360
C2713595,C0007193
C0021641|3630,C0006846
C2926735,C0272373
C0128513,C0085697
C0061387,C0002438
C1880735,C0241961
C1957370,C0740394
C0007538,C0238217
C2743630,C0153246
C0070549,C0520676
C0001644,C0085413
C0009008,C0020458
C0301527,C0025218
C3696416,C0751362
C0008188,C1301363
C0766108,C0012634
C0027235,C0039483
C1739768,C0008325
C0137996,C0206754
C0039542,C0019163
C0146224,C0006666
C0146337,C0276226
C0002645,C0278996
C0071649,C0016167
C1693912,C0263678
C1516119,C0036980
C0211011,C0334634
C0078844,C0234133
C0081408,C1306835
C0019139,C0004610
C0753678,C0020621
C0024977,C0019357
C0003166,C0278140
C0245561,C0232058
C1161346,C0085580
C0033254,C2747816
C0033497,C0085612
C0021246,C0581392
C0127615,C0026393
C0003289,C1260911
C0003596,C0149925
C0066677,C0007194
C2699758,C0276228
C0165703,C0029118
C0140610,C0392445
C3818721,C0473527
C0008402,C0694549
C0301409,C0041976
C0004969,C1290884
C0030040,C0854215
C3652561,C0002888
C0029105,C0269658
C0057678,C0238067
C0027444,C0042998
C4079904,C0086445
C4542171,C0700345
C0075504,C0000809
C0163055,C0519030
C0012381,C0032914
C0038689,C0019342
C4287804,C0152965
C0524095,C0403643
C1957370,C2887088
C0724587,C0339933
C0061323,C0520767
C0173083,C0019189
C0050409,C0019372
C0063841,C0376358
C0378466,C0030499
C2828245,C0023343
C0008405,C0030809
C0027329,C0021167
C0033126,C0006142
C0056835,C0018190
C0065517,C0027498
C0256103,C0040252
C0060180,C0008489
C1531015,C0221392
C0055881,C0014553
C2349941,C0024110
C1142738,C0011881
C4055478,C0016167
C2935023,C0038363
C0671970,C0006105
C0017970,C1319317
C0008269,C0013238
C0031448,C2349994
C0014921,C0018133
C0019453,C0236830
C0377336,C0949691
C0030800,C0239946
C3652604,C0442867
C0085228,C0031946
C1138226,C0872054
C0724579,C0041343
C0023607,C0041952
C0053091,C0151940
C0021641|3630,C0030567
C0525079,C0011854
C0288165,C0700053
C0038675,C0011644
C3661283,C0278987
C0065760,C0006444
C0209368,C0149704
C0068897,C0042963
C0014942,C0023895
C0073374,C0231528
C0243449,C0041473
C1739768,C0040038
C0019593,C0150045
C0126177,C0005283
C0052752,C0002382
C0042071,C0043250
C0531483,C0342907
C4519273,C0019080
C0009053,C0221023
C4726765,C0030446
C4257011,C0022570
C2744440,C0400877
C0071808,C0155440
C4740904,C1961099
C0002658,C0027430
C0057916,C1274228
C1449680,C2316212
C0054668,C1541061
C0028902,C1262117
C1373120,C0149782
C0907160,C0020443
C0008402,C0151317
C3273430,C0751956
C0071304,C0231528
C0003018,C0034067
C3501981,C0020542
C0026196,C1303258
C0008286,C0854215
C0015827,C0155877
C0054340,C0032749
C0085272,C0023290
C4519194,C0020437
C0543448,C0031046
C0540776,C0033860
C0012091,C0030757
C0016225,C0542269
C0059752,C0013238
C1122962,C0342751
C3661282,C1140680
C0128513,C0040262
C0137996,C0694549
C0031495,C0039483
C0062068,C0343804
C1565750,C0085096
C1609686,C0028754
C0003289,C0581392
C2934193,C0040517
C0074493,C0010691
C0243237,C0026961
C0074393,C0024537
C0244713,C0042580
C2316164,C1328252
C0164155,C0021092
C2713632,C0025323
C0005310,C0036330
C2931927,C0041296
C0025887,C0395818
C0281666,C1275684
C0768119,C0553662
C0055877,C0039103
C3266849,C0041351
C0065517,C0243002
C0604284,C0018021
C0066682,C0022660
C0070072,C4708167
C0301527,C0042974
C0006657,C0027145
C3848532,C1800706
C4278675,C0022408
C1882138,C1619734
C0164662,C0032308
C1441129,C0339317
C0289779,C0152020
C0064113,C0521173
C0289884,C0472713
C0036720,C1321482
C0251504,C0343833
C0020273,C0035328
C1579373,C0339293
C0033306,C2349261
C2917359,C0009806
C0006405,C0010043
C2348066,C0346976
C0728747,C0042109
C0016360,C0152945
C1313616,C2733595
C0031448,C0035305
C2607886,C2919522
C0210630,C0343500
C0033567,C0152965
C0059714,C1278807
C4287804,C0042384
C0004521,C0269050
C0009053,C0085159
C0525678,C0027609
C4033633,C0033774
C0025603,C0034012
C1742789,C0342731
C0546859,C0040156
C0055568,C0022735
C0057598,C1292758
C0079466,C0033774
C0218986,C0349774
C0113293,C0033774
C0287721,C0239946
C0033308,C0554628
C0051809,C0741292
C0123163,C0019196
C0040864,C0158996
C0350998,C0024301
C0078836,C0153225
C4309207,C0949690
C0074710,C0008679
C0021027,C0272199
C0069717,C0238080
C4541383,C0008677
C0019134,C1328504
C0000473,C0854211
C0029309,C0596170
C0001040,C0008526
C0030140,C0278140
C0025598,C0020598
C0006657,C4722085
C0728803,C0235025
C3272698,C0019655
C2698371,C0029076
C0074554,C0221406
C0077089,C1275687
C0243237,C0339498
C0014710,C0264490
C0939237,C0021670
C0244404,C0263678
C2348248,C0340354
C0143993,C0154640
C0026549,C0870082
C0055775,C2363973
C0072768,C0276089
C0043355,C0020635
C0012066,C0234133
C0025859,C2887088
C2827241,C0206754
C2347624,C0006277
C0059714,C0010417
C0071304,C4304383
C0039832,C0917796
C1831905,C0085278
C1876229,C0271568
C0005308,C0018133
C0040125,C0152020
C0052761,C0269285
C0042890,C0023473
C0140610,C0267509
C0281351,C0031090
C0908935,C0036330
C0031979,C3839346
C0071074,C0003950
C0041090,C0011881
C0060405,C0221023
C0146224,C0349649
C0001367,C0038358
C1276807,C0026764
C0015827,C0026769
C1872427,C0020683
C3652852,C1961835
C0038425,C0006444
C0299792,C0276535
C0211011,C0729772
C0007077,C0041473
C0057992,C0002103
C3817397,C1561643
C0165603,C0345904
C0003440,C0005699
C0795712,C0002382
C2717021,C0001627
C0893761,C0041364
C2348308,C0343532
C0076189,C1531702
C0066928,C0018133
C0010523,C0003864
C0962517,C0276064
C0591251,C0269050
C0083381,C0009186
C0078844,C0520777
C0053230,C0007193
C1161346,C2267227
C0123163,C0271568
C0893761,C0029076
C0038710,C0019212
C1721339,C0153594
C0013023,C0006666
C0007974,C0023343
C0675175,C1264606
C0068483,C0009770
C0014704,C0040425
C0165312,C0085159
C0164155,C0041343
C0020306,C0020594
C0018034,C0153193
C3492889,C0235480
C0090306,C0276653
C0022614,C4076057
C0016610,C0006287
C0676831,C2316212
C2933904,C0002831
C0813622,C0019247
C1135132,C0020456
C1169997,C0011880
C0087161,C1960925
C0529351,C0001263
C0039736,C0024143
C0011479,C0426639
C0055147,C0019372
C0298130,C0376175
C0006976,C0038358
C2828290,C0003467
C0057626,C0275793
C0289779,C0042384
C0078442,C0039103
C0624744,C0153240
C0251504,C0409959
C0025659,C0238067
C3491974,C1263846
C0085272,C0017661
C0052752,C0039483
C1619966,C0028840
C0015980,C0080274
C0009053,C0007112
C0008168,C0034494
C1507354,C0240066
C0042665,C0149782
C0071132,C0020461
C0060504,C0027092
C0021735,C0349719
C5435024,C0020443
C0058371,C0024115
C0022642,C0023473
C0596004,C0206504
C4278675,C0019372
C0069610,C0022951
C0073983,C1719906
C0030895,C0006111
C3848532,C0474368
C1871526,C0221392
C3852920,C0000809
C1567753,C0588233
C0003440,C0019342
C0007550,C0342634
C0022245,C0017536
C0028027,C0278140
C0077004,C0684275
C3661450,C0038395
C0108124,C0347176
C0039607,C0346421
C0011015,C0022340
C0021186,C0023474
C0040899,C0085437
C0002658,C0013537
C4550351,C4302554
C0053881,C1264606
C0013090,C0040921
C4519428,C0024301
C0040864,C0341439
C0031495,C1609535
C0072225,C0036205
C0012582,C0012739
C2350656,C0023467
C0304604,C0020541
C0008188,C0162565
C0262960,C0342827
C0003211,C1260710
C2931926,C0343833
C0069760,C0027819
C4704728,C1384606
C0073631,C0153216
C0037567,C0275652
C0038149,C0018021
C1313616,C0702166
C0025826,C1140680
C3712232,C0155877
C0008838,C0030807
C0055891,C0264115
C4257011,C0546999
C0055819,C0032994
C3640212,C0042025
C0010927,C0023860
C2003424,C0039082
C0069833,C0149911
C0003290,C0013312
C2350948,C1623040
C0050066,C1262117
C0007299,C0007384
C0076107,C0020676
C0027444,C0027424
C0006400,C0406317
C1957370,C0003872
C0028741,C0008526
C0027368,C0014836
C0066805,C0023524
C0015689,C0043116
C0012471,C0011633
C1171274,C0010200
C0057606,C0264714
C0055568,C0345904
C1722685,C0020479
C0010976,C0027819
C0016343,C0032024
C0008838,C0011854
C0059623,C0027773
C0028833,C0010823
C0171023,C0031090
C0042402,C5392833
C0044401,C0006060
C0025659,C0001264
C0961965,C0730274
C0014563,C0032302
C0033306,C0021053
C0070620,C1609538
C0013036,C0002963
C0253563,C0588233
C0012306,C1739363
C0936148,C0206178
C0052940,C0031190
C0007538,C1704272
C0008286,C0035412
C0068334,C0278701
C0042210,C0024623
C0071839,C0151714
C0050405,C0155213
C0013089,C1704431
C0031955,C0549398
C0005116,C0151907
C0038792,C0238061
C0073983,C0267509
C1268551,C0024286
C0033493,C1609538
C2605855,C0010692
C0039542,C0153290
C0062106,C0162836
C0003440,C0029134
C0051113,C0346421
C0076110,C0024790
C0041037,C0020594
C0052865,C0221392
C0216231,C0151907
C0053881,C0275959
C0012472,C0264515
C0041090,C0006849
C0756085,C0403425
C1142985,C0011644
C0042670,C0042900
C0299792,C0151723
C0025629,C0242429
C0065831,C2931187
C0006983,C0274726
C0164662,C0038220
C0023610,C0153290
C0020811,C0008533
C0000981,C0042029
C0038710,C0034067
C0055891,C0043388
C0012341,C0003969
C0041056,C0872054
C2350948,C0042769
C0016277,C3203356
C0060234,C0032305
C0006711,C2363973
C0041536,C0271693
C0007551,C0035585
C0073379,C0003125
C4519728,C1384600
C0772394,C2363973
C1171274,C0007137
C0087163,C0011608
C1142985,C0221392
C0003191,C0005699
C2825721,C0035222
C1959590,C0153594
C2000261,C0034362
C0030520,C0220987
C0009014,C0042487
C0006886,C0029134
C0672596,C0008677
C0123903,C1692886
C0108121,C0020557
C0063077,C0040015
C0018312,C0341439
C0031507,C2267227
C0074393,C0024110
C0009077,C0276755
C1099677,C0157749
C0034417,C1959799
C0073994,C0040028
C2604307,C4543165
C0017845,C0041912
C0257685,C0281361
C0050403,C5392833
C0073601,C0546837
C3885068,C0021355
C0254211,C0035457
C0536495,C0024138
C1135135,C0150055
C0011785,C0406486
C0071129,C0276089
C0070072,C0581392
C0068377,C0024440
C0079594,C0342881
C0038702,C0025323
C0027358,C0041343
C0069753,C0520777
C0014708,C0031350
C0066677,C0240066
C0030072,C0023976
C0073379,C0153196
C0040866,C0037354
C0042071,C0029077
C3886460,C0041909
C0546859,C0037769
C0164674,C0343532
C0116569,C0276089
C4033631,C0012739
C4550351,C0023052
C0048306,C0032768
C2983876,C0275652
C0032901,C0740441
C0042105,C0032285
C0082607,C0013369
C0041098,C0032994
C2983876,C0702166
C0030520,C0042376
C0008221,C0572583
C0030817,C1112209
C3273754,C0002418
C4078312,C0854211
C0037134,C0006309
C1142933,C0153240
C0102139,C1303258
C4082411,C1261256
C2825721,C0030785
C0069760,C0006060
C0066837,C0264490
C0002499,C1531702
C4519536,C1961099
C0007257,C1692886
C3853839,C0151449
C0012694,C0395818
C0046100,C0010666
C0030576,C0041296
C0129975,C0149925
C0795635,C3874358
C0063449,C0338873
C0086728,C0175167
C0058445,C0003469
C0029105,C0024530
C0060234,C3875286
C0025741,C0242429
C3652604,C0151482
C0007537,C0016053
C0717900,C0151714
C0007248,C0041408
C0029997,C0948089
C0005100,C0240066
C1872203,C0006848
C0052865,C0153601
C0007735,C0030848
C0209315,C1272826
C0006376,C0034065
C0008466,C0037354
C0546859,C0020630
C0005575,C0020557
C0054820,C0033860
C0032594,C0235063
C0599685,C1960639
C0030073,C0085695
C0070166,C0008526
C0016295,C0162565
C4726799,C0237963
C0070570,C0042974
C5139819,C0877445
C1330622,C1112209
C4519118,C0264490
C1505698,C0021775
C0030830,C0023886
C0642228,C0162565
C4548369,C0030759
C0079466,C0401160
C0053336,C0036916
C0022252,C5392833
C2980091,C0035579
C0595265,C0700502
C0249458,C0553662
C0005035,C0034362
C0006983,C0153246
C0025603,C0042384
C0010590,C0349734
C3651264,C0014358
C1567130,C0243001
C0001268,C0342751
C0032831,C0032290
C0106291,C0339498
C0007560,C0003872
C3852671,C0270736
C0008293,C0029453
C0033254,C0007787
C0123091,C0242422
C0011276,C0031157
C0055477,C0022661
C1516119,C0042571
C0015043,C0040264
C0528166,C0149782
C0062106,C0022735
C1171274,C0008149
C0359086,C0035021
C0030829,C0008533
C4535718,C1561643
C0025219,C0034065
C4301607,C0002066
C3273430,C1609538
C2930696,C0396072
C0003367,C0153252
C0907402,C0043092
C0011817,C0015934
C0673470,C0042485
C0052820,C0008582
C2607886,C0027765
C0073994,C0006840
C4524315,C1960925
C0000378,C0008526
C0005096,C0037199
C0071324,C0271051
C4278675,C0014742
C0001644,C2936781
C0083381,C0002736
C0771259,C0032617
C0537147,C1262117
C0034392,C0008533
C0033511,C0037769
C0054259,C0039621
C0538927,C0919659
C0041086,C0033975
C0772089,C0005940
C0068395,C0232940
C0037556,C0036980
C0146224,C0276754
C0011479,C0342634
C0000477,C0152081
C0732165,C0684275
C0068897,C1692886
C4033633,C0041472
C0008845,C0153227
C0663655,C0030446
C0129022,C0002888
C0060400,C0235238
C3848532,C1563054
C4740904,C0002963
C0059868,C0342826
C1693912,C0009663
C0032825,C0034065
C0042210,C0278140
C0011786,C0587044
C0168273,C0036202
C1441129,C0151874
C0079083,C0149526
C0164662,C0002351
C0262960,C0030319
C0028833,C0000786
C0027360,C0343337
C0732611,C1328252
C0030576,C0014356
C1959590,C0342907
C4224790,C0743332
C0247025,C0338908
C0164398,C0026705
C0073096,C1276092
C0006050,C1261469
C0086728,C0442874
C0010590,C0155814
C1695579,C2349261
C0256103,C0272286
C0035525,C0276688
C0596087,C0598608
C0771311,C0011881
C0041942,C0024117
C4694272,C1272826
C0288792,C0009773
C0013227,C0398686
C0525227,C0917799
C2934193,C0005940
C0113293,C0003177
C2346970,C0396072
C1958126,C1290886
C0058371,C0019342
C0053284,C0027796
C0077163,C0238644
C0061328,C0341950
C0025815,C0031946
C2607479,C1290884
C0077081,C1112486
C0025638,C0011608
C0913469,C0334634
C0037134,C0023443
C0026256,C0020437
C1958126,C0040425
C0070570,C0002736
C0022860,C0751074
C4309207,C0003469
C0032601,C0150055
C0052772,C0003492
C0537894,C0343532
C0130137,C0034902
C2717021,C1274469
C0006405,C1565489
C0027444,C1145670
C0700546,C0085697
C0126774,C0040053
C0023570,C0008149
C0047625,C1719906
C0677829,C0855112
C0002556,C0008311
C0033602,C1112486
C4317155,C0276026
C1567130,C0023886
C0010583,C0393760
C0733397,C0022735
C0015137,C0238298
C1721377,C0085606
C0879427,C0004626
C0014822,C0035579
C0358591,C0001511
C0733758,C0001403
C1099414,C0020635
C0120107,C0035305
C1831731,C0235329
C0007559,C0153216
C0037982,C0017661
C1176020,C0032024
C0018033,C0267963
C0008221,C0003962
C0380393,C0345904
C0525079,C0020476
C0666079,C0079774
C0005632,C0276088
C3700399,C0153216
C0663241,C0346161
C0768119,C0271568
C2934193,C0020437
C0014987,C0023465
C2698764,C0029408
C0535459,C1997322
C2001271,C0043515
C0065767,C0017152
C0037508,C0278987
C2700226,C2973725
C0050409,C0032987
C2698385,C0006852
C0031923,C0349009
C0028005,C0040252
C0717537,C1274469
C1453642,C0242488
C0022209,C0015397
C0012757,C0238122
C0144576,C0021400
C0016778,C0401160
C0771436,C0023461
C0074710,C0154301
C0022265,C0878544
C1948374,C0401160
C0025760,C0274726
