SUBJECT_CUI,OBJECT_CUI
C0069805,C0003125
C0027679,C0014347
C0040160,C0085394
C0006400,C0270425
C0388088,C0428974
C0935989,C0476089
C4305843,C0152499
C0055856,C0019655
C0038745,C0456103
C3536880,C0155919
C0116074,C0270425
C0012319,C0238284
C1533126,C0002170
C0028735,C0854211
C0058056,C0243002
C0068334,C0149966
C0014964,C0019243
C4547776,C0006849
C0024056,C0342882
C0070895,C0272293
C0031184,C0006846
C0127615,C0025218
C0008793,C0206504
C3491331,C0024286
C0036516,C0158371
C0087161,C0024530
C0060825,C0040156
C0014310,C0085606
C0007738,C0376358
C0388753,C0085695
C0056391,C1623040
C0009026,C0035585
C0032375,C2931187
C0018033,C0042485
C0009077,C0268381
C0040899,C0263353
C0063322,C0042024
C1099776,C0007780
C0074393,C0850149
C1611640,C0027708
C0527189,C0751967
C0042646,C4721209
C0909839,C0153225
C1449704,C1536220
C0003442,C0031946
C0087161,C0558595
C4329353,C0040896
C2001525,C0149871
C0105750,C0396072
C0030073,C0587044
C0001465,C0159020
C0010347,C0241705
C1693912,C0041909
C2001867,C0149985
C2973446,C0038358
C1723401,C0338396
C0076829,C0339933
C0014704,C0268124
C0002556,C0005683
C0012306,C0002792
C0165603,C0154640
C1609931,C0026709
C0020268,C0027927
C4050579,C2981142
C0520442,C0007682
C0073631,C0041408
C0031507,C0271578
C0060926,C1318559
C0014822,C0026764
C0007541,C0012739
C0062068,C0153193
C0525227,C0152973
C4056439,C0024301
C0007551,C0428974
C0007560,C0019345
C0971579,C0010068
C3501981,C0035235
C1176415,C0154246
C0001645,C3536984
C0069760,C0206062
C0065834,C0003175
C0019134,C0000814
C0293359,C0024143
C0040979,C1541061
C3501434,C0860594
C0006886,C0024301
C0033124,C0524702
C0149381,C0009768
C1260208,C0007682
C0008845,C0346976
C1566826,C0267167
C0004975,C0000821
C0608826,C2349261
C3177235,C0151714
C0007404,C0038160
C0071132,C2937225
C0000983,C0006114
C0012471,C0016053
C2699179,C5203670
C0060405,C0031572
C3854019,C0349506
C4079805,C0006105
C0058446,C0572583
C0009002,C0013537
C3491974,C0232940
C0939237,C0010930
C0053284,C0019345
C1313616,C0153227
C3490795,C0041318
C0018304,C0281361
C2350866,C1632842
C0676831,C0008311
C0013023,C0007129
C0037982,C0033687
C1960121,C0030920
C0036557,C0009186
C0039955,C0022340
C0005041,C1719906
C0005575,C0039128
C3886623,C1531702
C1445578,C0854328
C0008996,C0205944
C0966225,C0746883
C0054249,C0036337
C4519428,C0271561
C0041920,C0020473
C0252643,C0275804
C0070694,C0013369
C0063841,C0339296
C0126774,C0035597
C0001644,C0038013
C0028360,C0042165
C0537270,C0278987
C0526399,C0034069
C0123677,C0155880
C0246904,C2711653
C0041942,C1960925
C0538927,C2973725
C0529351,C0262380
C1134681,C0010823
C0051150,C0566602
C0753287,C0039133
C0531483,C2733598
C0008163,C0521173
C0216660,C0014179
C0057598,C0570328
C0010137,C0155862
C0083381,C0035086
C1700695,C0277528
C0066411,C1321482
C0024808,C0003492
C0247025,C2960008
C0021547,C0032285
C4043101,C0003864
C0055881,C0948896
C0079594,C4302554
C0025887,C2363973
C1520059,C0009769
C0060504,C0412842
C0001041,C1320547
C0521941,C0030759
C0033511,C0007384
C1122962,C0030568
C0006684,C0153227
C0536495,C0687148
C0060135,C0349464
C0000983,C0013312
C0070325,C5192106
C1445578,C0036337
C5433947,C0264716
C0297635,C0040259
C4694272,C0035412
C0376541|2056,C0396072
C0003364,C0036205
C0117996,C0686510
C0064870,C1263846
C1700683,C1827266
C0078839,C0009450
C0065832,C0206754
C2001867,C0001957
C0050558,C0949083
C3817397,C0036202
C4688584,C0677659
C0016375,C0022575
C0018026,C0206178
C4301781,C0026987
C1328071,C0150055
C1443650,C0393735
C1609686,C0041228
C0005578,C0008350
C2982078,C0456107
C0059874,C0038437
C0042211,C0011974
C0031955,C0741292
C0388088,C2363973
C1453642,C0040264
C0003392,C0006057
C0768119,C0027773
C4524315,C0242379
C2717174,C0019151
C0164155,C0036271
C0002272,C1868889
C0014708,C0003125
C0017720,C0349543
C0526371,C0009766
C4727763,C0343833
C0011705,C0519030
C0126174,C0233494
C0023607,C0150045
C2930789,C0011636
C0001648,C0684256
C0034283,C0035220
C0529793,C0039483
C1337242,C1565489
C0354100,C0020503
C0061366,C0152946
C4310256,C0029104
C0076456,C2717961
C0068980,C0151940
C0118168,C0311375
C0011824,C0021167
C1832049,C0038454
C0540694,C0264714
C0893761,C0276926
C2348308,C0036472
C2744960,C0006266
C0039245,C0027831
C0040372,C0700502
C0066837,C0338873
C4550368,C1275126
C0015827,C0026709
C0026196,C0032617
C0059714,C0020598
C0165312,C0027051
C0012082,C0032024
C1611934,C0016167
C0251504,C0085436
C0060135,C0006434
C0037567,C0017168
C0027324,C0917798
C0032950,C1739363
C0243192,C0342985
C0051556,C1260899
C0023961,C0031154
C0663655,C0027796
C0070570,C0010666
C0939241,C0016167
C1831731,C0233494
C1176020,C0572583
C0031379,C0854328
C0079466,C0021355
C1721377,C1274228
C0060483,C0003811
C1562104,C0870082
C0389169,C0036117
C0246689,C0041227
C0038722,C2349994
C0065760,C0348898
C0027603,C0392190
C0015837,C0019061
C4291409,C1504336
C0012582,C0010930
C4519199,C0153196
C0002520,C0035439
C0041009,C0521173
C0014822,C0025289
C0005038,C0262399
C0719064,C0396072
C0770560,C0184567
C0041031,C0033578
C0025746,C0149526
C0063322,C0206141
C0663241,C0751362
C0053799,C0085083
C2346970,C0035086
C0663448,C0029458
C0004906,C0041909
C0016778,C1269831
C4257011,C0751434
C0376607,C0040185
C0077274,C0035455
C0032831,C0700053
C0965618,C0271568
C0246689,C0002726
C0066418,C0043117
C0220821,C1261256
C2713595,C1561643
C0010980,C0524688
C0058371,C0023440
C0144576,C0238425
C0038149,C0040188
C0076195,C0159020
C0035100|5972,C0041473
C0008188,C1692886
C0012066,C0149922
C0008161,C0282193
C0733796,C0032302
C0939237,C0267436
C0056835,C0751122
C0001551,C0020550
C0541155,C1306835
C3489682,C0022578
C0032483,C0038395
C1876226,C0008533
C0033308,C0155862
C2719767,C0349464
C1675326,C0282193
C0164674,C0001206
C1136535,C0267167
C4329353,C0261486
C1260298,C0015503
C0000545,C0022658
C0107497,C2349530
C0003009,C2937225
C0078442,C0155860
C0000946,C0024110
C3541367,C0153216
C1169997,C0006105
C0046100,C0000786
C0012086,C0029104
C0733397,C0157749
C0008806,C0016470
C2987603,C4543165
C0033487,C0023440
C0002607,C0033581
C0246689,C0000880
C0038326,C0919659
C0028126,C0878773
C0042402,C0018790
C0128513,C0472713
C0042670,C0029456
C0070122,C4687714
C0006359,C0263353
C0034283,C0038166
C0007158,C0010346
C0064870,C0023473
C0021641,C0007785
C0015137,C0276064
C0012050,C2937225
C0027353,C1541061
C0031408,C0149516
C0033497,C5192106
C1532225,C3698411
C0962603,C1096562
C1172636,C0276535
C0242912,C0005138
C0028094,C0022570
C3713057,C0020542
C0249582,C0030567
C0065517,C0004245
C0071074,C0018378
C0070455,C0243002
C0001046,C0026705
C0015046,C0028043
C0035100|5972,C0035305
C0043047,C0027773
C0304571,C1384514
C3658667,C0220994
C0350998,C0020473
C0054234,C1274988
C0050940,C0238067
C2606637,C0276226
C2930696,C0751964
C0054235,C1261473
C0025152,C0008325
C3491331,C0003125
C0059690,C2363973
C0078794,C0272373
C0042291,C0008513
C4045974,C0033038
C0054249,C3163939
C0771436,C0001403
C0077857,C0025306
C0003143,C0339932
C0018034,C0043250
C0210630,C0023524
C0770895,C0018021
C0072865,C0004610
C0724587,C0002382
C4033447,C0004945
C0017066,C0036271
C0672663,C0085656
C1313616,C0020598
C0038792,C1276801
C0029983,C1562430
C0013015,C0020542
C0005330,C0341558
C0014912,C0003125
C0534301,C0019069
C0110462,C0027498
C0001937,C0004604
C1620287,C0020598
C0008996,C0238452
C0013015,C0600260
C0007551,C0392445
C0010934,C0234133
C0035608,C0011630
C1257987,C0276088
C0017890,C1527407
C0028735,C0221392
C2350656,C0027662
C1707080,C0343500
C0033568,C0085109
C4519323,C0010823
C0028360,C0038034
C0065152,C0041343
C0077539,C0020503
C0044401,C1274470
C2605855,C1561828
C0025912,C0025637
C0027358,C0686347
C0061330,C0543822
C4505508,C0276089
C0771040,C0004238
C4720053,C0011847
C0149368,C1336827
C0001268,C0264714
C0039902,C0085166
C0030077,C0035579
C0002555,C1562585
C0023556,C0272286
C0771957,C0341503
C0076829,C0042024
C1870115,C0014518
C4033447,C0040264
C0147037,C0153216
C2717561,C0011616
C0015846,C0027708
C3817397,C0039263
C0010583,C0085436
C3696416,C0730345
C0070895,C0032533
C0165703,C0002066
C0056732,C0002390
C0006938,C0085096
C0040979,C0270549
C0937846,C0017178
C0074676,C0031511
C0027996,C0023646
C3529563,C1609538
C0052430,C3874358
C0796392,C1527407
C0069776,C0008679
C0025631,C2747816
C1120106,C0024537
C0016360,C0342257
C4519199,C2887096
C0541155,C0038363
C0025644,C0271051
C0009262,C1720498
C0002502,C1527336
C0078774,C0235238
C1313386,C0860594
C0032535,C0004945
C0616274,C0152068
C0015772,C2936328
C0377349,C0003868
C0076705,C0020676
C0013832,C0080203
C0065517,C0271932
C0012082,C0006181
C0907160,C0011268
C0028476,C0235329
C0246689,C0032994
C0015506|1351,C1283620
C0102139,C0149931
C0025386,C0027092
C1145760,C0020594
C1869620,C0152945
C0054015,C0278996
C0031422,C2887096
C0245519,C0035585
C0018312,C0149948
C0007974,C0020626
C0064871,C0001403
C3653316,C0239946
C0010961,C0022573
C0025506,C0002066
C0040219,C0041909
C0000970,C0456103
C3661283,C0006271
C4084478,C0151449
C0018061,C0020179
C3502471,C0086651
C3652604,C0235950
C0069610,C0851578
C0030072,C0010380
C0071839,C0022951
C0036557,C3495559
C0081787,C0003492
C2353893,C0023474
C0061366,C0221032
C0043047,C0019151
C0003241,C0349506
C0038326,C0342751
C1135662,C0854211
C1451502,C0014358
C0378482,C0267963
C0030092,C0030499
C0001268,C0022578
C0005038,C0032285
C0055723,C0008049
C0040975,C0849907
C1268551,C0025289
C3713057,C0474368
C3653122,C0022568
C1948374,C1318973
C0245519,C0035335
C0164398,C0005699
C0164662,C0338395
C0302609,C0153256
C0000473,C0221074
C0002697,C0022081
C4305843,C0035455
C0007546,C0030783
C0021641,C0006846
C0288165,C1828079
C0050405,C0010380
C0014822,C0151317
C1579373,C0040425
C5435024,C0235267
C2933904,C1096063
C1873633,C0041318
C0005088,C0040425
C0039955,C0275804
C0075262,C0085436
C0043355,C0573789
C0041038,C0019655
C0050409,C0017418
C3529928,C0243001
C1135132,C0037769
C4547051,C2711653
C0525678,C0275979
C2933904,C0036472
C0045093,C0019069
C0019453,C0221013
C0010620,C0149523
C0065870,C0694549
C0770560,C0030568
C0376541,C0013428
C2606637,C0042875
C0040879,C0042029
C0164155,C0006266
C3537192,C0392445
C0050558,C0035579
C0006464,C0007789
C2348248,C0221032
C1718097,C0014877
C4045491,C1260917
C0006681,C2349994
C4519126,C0013369
C0719064,C0268124
C0001937,C0006309
C0286651,C0042847
C0031935,C0016412
C0062103,C0155213
C3653122,C0002831
C0034392,C0010666
C0038710,C0149922
C0748603,C0238067
C0022209,C0242379
C0037663,C2711653
C3489575,C1290886
C0006938,C1384589
C0038148,C0040921
C0009002,C0021053
C4291320,C0023290
C0879427,C0271790
C0010547,C0040188
C0021081,C0392171
C0953467,C0150055
C0012381,C0238122
C0052946,C0238013
C4080052,C0242350
C4519428,C0549315
C3652618,C0025294
C0005382,C3661921
C0052761,C0153594
C4475875,C0872054
C0043872,C0870082
C0165312,C0016627
C0386393,C0341439
C0525678,C0007129
C0772394,C0019342
C2001271,C0345904
C3818721,C0729524
C3854325,C0007682
C1373120,C0235480
C0023570,C0015652
C4079582,C0003175
C2936870,C0007138
C0059690,C0520679
C2000088,C0347176
C0019453,C0039103
C0019593,C0272322
C0002403,C0038013
C0008281,C0234133
C0244656,C0019572
C0376637,C0027609
C0042890,C0014550
C0072980,C0238198
C1566826,C0158996
C0010347,C0278139
C0048504,C0238462
C0005310,C0040517
C1619966,C0017536
C1098320,C1960639
C0085272,C0040921
C1268567,C0006114
C0010347,C0024591
C0014025,C0011848
C0700546,C0153227
C0282386,C0039082
C0006388,C0010692
C0768119,C0015652
C1881129,C0023786
C0022487,C0343337
C0969589,C0040156
C0051809,C5203670
C1176308,C0423234
C2346836,C0700053
C0068992,C0014013
C0069717,C0037195
C0733470|3439,C0342257
C0051241,C0035457
C0936150,C0005587
C2987603,C0020479
C0724579,C0238198
C0043603,C0235063
C0024472,C0153467
C1445625,C0149985
C0016282,C4708088
C0012341,C0030446
C0061863,C0020649
C0913506,C1269683
C0028127,C0014173
C0003402,C1276801
C1367202,C0003872
C0257685,C0271561
C0163557,C0005683
C0040975,C0520775
C0290883,C0878544
C4033631,C0342985
C0025380,C0343833
C0058056,C0282193
C0600296,C1318559
C0770895,C0271051
C0054667,C0001125
C0040615,C0031190
C0140591,C0406326
C0066535,C0152499
C0002421,C1632842
C3658667,C0024449
C0032825,C0021311
C3272640,C0002895
C1268900,C0022972
C0027329,C0018081
C0178601,C3163829
C0012145,C0730345
C0014806,C0349543
C0027373,C0033860
C3886460,C0002892
C0058379,C0030759
C0076808,C0006267
C0107994,C0006846
C0010654,C0403398
C0078836,C0011269
C0382131,C0870082
C4726765,C1997728
C1174893,C0154639
C0002007,C0016627
C0066805,C0023467
C0771655,C0014742
C3530172,C2937222
C0058389,C0017609
C3530172,C0023283
C3489575,C1609535
C2983838,C0233494
C0242896,C0276064
C0108111,C0031090
C0003360,C0750979
C4329353,C0694549
C0027996,C0040558
C4519269,C0017601
C0004905,C0019080
C0014704,C0003469
C0041249,C0235238
C0732611,C0234978
C0002711,C0042384
C0725101,C0730345
C2713632,C0027796
C0002502,C0038218
C1566537,C0867389
C0001041,C0849907
C0006280,C1306632
C0534301,C0014742
C3653122,C0030920
C0132326,C0003872
C0087163,C0524910
C1718383,C0010068
C0937851,C2747816
C1144149,C0339293
C0020196,C0011630
C0021186,C0041234
C0031422,C0152499
C0072828,C0010690
C0528166,C0524662
C1957370,C0010054
C0008736,C0011882
C0024778,C0233794
C0002641,C0007947
C0963839,C0339498
C2604307,C0019655
C2717021,C0085649
C4726900,C0011847
C0525005,C0270458
C1122962,C1997728
C1705480,C0005743
C0042523,C0025874
C0937950,C0596170
C0070455,C0014175
C0011145,C0519030
C0005320,C0276535
C0040193,C0042571
C0251504,C0276754
C4055433,C0700502
C0032911,C0917796
C0058371,C4543165
C3658210,C0020503
C0171302,C0023281
C0903411,C0458219
C1172636,C0038463
C0076110,C0275652
C0076890,C0012634
C1562242,C0032460
C0671970,C0232849
C0003299,C0747256
C0020933,C0027609
C0006644,C2887088
C0005310,C0027497
C0050559,C0001511
C0052946,C4687714
C0014563,C0035854
C0060234,C0346421
C0071836,C0003969
C0052752,C0032064
C0002771,C0008149
C4682397,C0018378
C4033447,C0001511
C0129022,C0026718
C0085154,C1800706
C0030895,C0153027
C0004057,C0009319
C3179547,C3163829
C0524095,C0746883
C2980074,C1096562
C0055467,C0023269
C0289313,C0036202
C1143018,C0029401
C0052585,C0271429
C0015491,C1565489
C3853822,C0002871
C0055904,C0242584
C3179929,C0267919
C0074391,C0005283
C0113293,C0011269
C0282386,C0271638
C0029997,C1720538
C0878309,C0573789
C0771311,C0277528
C0077147,C0020621
C1176329,C0021775
C0016018,C0149922
C4727763,C0035220
C0027996,C0043250
C4519269,C0854328
C0041249,C0341697
C4301626,C0949691
C0125997,C0002986
C0140594,C0276754
C0014027,C2981142
C0008221,C1319317
C0018305,C0013312
C0071324,C0497327
C0126789,C0038013
C0796392,C0023449
C0038326,C0036117
C0066412,C0033893
C2930696,C0281361
C0677829,C0392445
C0002641,C0271568
C0054120,C5203670
C4550350,C0406486
C0014964,C0746883
C0027444,C0018671
C0015021,C0085682
C0015506,C0021670
C0017628,C4708088
C0003364,C1619734
C0003195,C0342907
C0016294,C0003962
C0012091,C4302554
C0012544,C2316212
C0019134,C1444173
C4682397,C0740441
C0066805,C0002994
C0006657,C0162810
C0535459,C0019196
C2742797,C0406482
C0023556,C2717961
C0004906,C0016627
C0028735,C0543822
C0039832,C0149966
C0038742,C0948089
C1566826,C1278797
C0020616,C1292758
C3490348,C0272230
C3657270,C0036690
C0039865,C0155749
C0357126,C0270425
C0055860,C0272285
C0537270,C0001207
C0026549,C0221032
C0012125,C0029076
C0021734,C0007222
C0074281,C1527383
C0053792,C0235329
C0025575,C0043117
C4325235,C0042847
C0003138,C0153289
C0025826,C0232940
C3537192,C0271638
C0038317,C4721209
C0040209,C1283620
C0050403,C0751362
C0092801,C1275317
C0013983,C0152499
C1872203,C1961835
C2346836,C0149985
C0642228,C0242350
C0379149,C0041472
C0040805,C0027051
C0298130,C0043092
C0379149,C0005424
C0961485,C0036421
C0023870,C0014488
C0039955,C0027721
C0532578,C0039445
C0016366,C0019243
C2931927,C0011269
C0301366,C0339959
C0608826,C3875321
C4310440,C0564750
C0140594,C0271568
C4519537,C0002170
C0081787,C0043208
C0042291,C0549315
C0071810,C0007682
C0007550,C0346421
C5140028,C0015967
C0676831,C0238452
C0039771,C0024110
C0038689,C0343730
C0016778,C0024291
C0054672,C0009770
C0025859,C0010054
C0005330,C0206525
C0001927,C0152965
C2930762,C0272286
C0030873,C0002965
C4507236,C0017605
C0022209,C0041909
C0032334,C0278701
C0020336,C0014869
C0003445,C0277528
C0531483,C0238061
C0164674,C0153252
C4042342,C0349790
C0040373,C0854211
C0001551,C0040921
C0243192,C0017612
C0052429,C0001126
C3653320,C0276648
C1134659,C0341503
C2698291,C4708167
C0054094,C0027708
C0007554,C0029396
C0724587,C0037317
C0033209,C0015934
C0030092,C1739363
C0246904,C0085786
C1453642,C0022575
C0032831,C0349790
C0286819,C0020476
C0026196,C0151714
C0016368,C2887084
C0006657,C0577708
C3661450,C1719906
C0003209,C0018099
C0142046,C0021141
C0038675,C0349649
C0033493,C0339573
C0003442,C0347176
C0020223,C0039131
C1143018,C0010666
C0538927,C0019360
C0771221,C0178416
C0005578,C0238644
C0065870,C0042847
C0001645,C0457949
C0038880,C0018802
C1721339,C0520775
C0078442,C1269683
C3653320,C0016470
C0041920,C0036830
C0058978,C1274470
C1955474,C0001403
C0028126,C0020625
C0060237,C1319317
C4519232,C2936781
C0059874,C0013922
C4301624,C0010043
C0002475,C0008325
C0303029,C1262117
C0043481,C0020683
C4724806,C0014752
C0213404,C0037195
C0137996,C2717865
C0057626,C0027831
C0019134,C1562430
C0165590,C0268381
C0599685,C0002351
C1258800,C0019360
C0108111,C0039445
C1169997,C1384606
C0031937,C0029077
C0007404,C0026918
C0042874,C0013884
C0030883,C0003868
C0289779,C0007131
C1541483,C0011633
C0288165,C0029882
C0078836,C0027708
C0064079,C0271152
C0076891,C0020676
C0042670,C0346974
C4524315,C0017536
C1567966,C0442874
C2744960,C0475811
C0043491,C0029401
C0209227,C0023290
C0002598,C0520775
C0168273,C0041321
C0053091,C0155440
C1170000,C1263758
C4045494,C0553576
C0772241,C0006840
C0071143,C0020179
C0077081,C0152171
C1738934,C0000821
C1130428,C0026393
C0937932,C0020619
C1172636,C0009806
C0021641|3630,C0020635
C0028351,C0041408
C0018312,C0017601
C4706204,C0577690
C3899947,C0014173
C0065023,C0010418
C0013832,C0036202
C0007546,C0162533
C0054249,C0006852
C0025912,C0395818
C0068314,C0041912
C3273401,C1960764
C4310256,C0398623
C0209211,C0151907
C0072828,C0700345
C3179547,C0009443
C0072768,C0001206
C0007036,C0220987
C0065936,C0158266
C0301407,C0235480
C0002772,C0004364
C0014027,C0024138
C0040374,C0028734
C0060234,C0238122
C0059610,C3698411
C2713595,C0010043
C0066282,C0011636
C0005632,C1384600
C0043481,C0040921
C0286651,C0004245
C0065760,C2887096
C0123047,C0872054
C4691680,C1096063
C0969324,C0008312
C0666079,C0019212
C3832882,C0013595
C0065870,C0278152
C0050458,C0030758
C0034414,C0342527
C1721300,C0022661
C5435024,C1609538
C1456408,C0033581
C0058056,C0010674
C0062103,C0342826
C0382131,C0341503
C3712232,C1168250
C4683810,C4040491
C1527027,C2711653
C0069628,C0267390
C0005064,C0348898
C0762662,C0037199
C0107497,C0036508
C4307886,C2717961
C1882138,C1336827
C0006280,C0600177
C0043355,C0033860
C0012373,C0041228
C0379135,C0268821
C0903898,C0027765
C0021081,C0008149
C3854019,C0494475
C0038665,C0242339
C2713632,C0036117
C2700226,C0002831
C0886584,C0030807
C0002499,C1541061
C0032613,C0342257
C0376560,C0039128
C1137427,C0013595
C0750848,C0032269
C0003018,C0041341
C0600370,C0018790
C4278675,C0003175
C0537147,C0400966
C1144709,C0002892
C0663182,C0011880
C0022059,C0004626
C0012341,C0006271
C2976303,C0278987
C0075870,C0155866
C0246269,C0855112
C0257190,C0730607
C1171274,C2887084
C5139788,C0008582
C0302210,C0043388
C0038425,C0242339
C1254351,C0013428
C2987716,C0038157
C0057992,C0021311
C0013085,C0149725
C0006834,C0570328
C0025741,C0022577
C4519317,C0558595
C0024730,C0041912
C0015491,C2717865
C0055152,C0022658
C0039600,C0003811
C0248719,C0151908
C0065832,C0271650
C0907160,C0017665
C0077147,C0036916
C0052429,C0019202
C2717021,C0019880
C0048044,C0333519
C0001655|5443,C4708088
C0076295,C0272293
C0030817,C0085697
C0040615,C0035412
C0126120,C0155814
C0015879,C2711180
C0164674,C5192106
C0014563,C0412850
C0766326,C0042769
C0003204,C0235025
C3537192,C0002831
C1449680,C0013264
C0033215,C0153256
C0012145,C2349994
C0027360,C0002170
C0040864,C0030809
C0036516,C0019069
C0909839,C0040262
C0023660,C0039621
C3700399,C0019247
C0076096,C1273489
C0289884,C0019099
C0108101,C0024536
C0004521,C0520909
C0002640,C0850624
C0246719,C0023479
C0037494,C0007682
C0005116,C0020625
C0048470,C2887096
C4049065,C0034067
C0005116,C0342731
C0016277,C1384606
C3272344,C0521173
C1328071,C0038160
C0027866,C1621958
C1120110,C0011269
C3501981,C0011615
C0005059,C0497327
C1434792,C0025202
C0040233,C0024291
C0060237,C0027498
C0040610,C0023474
C0663351,C0264115
C0054120,C0158266
C0057144,C0018081
C0031923,C0152068
C0163055,C0085606
C1872109,C0021670
C0903411,C0155814
C0055723,C0008489
C3886731,C0009443
C0018546,C0014877
C0076804,C0002395
C0007404,C1260880
C0077274,C0022570
C0068992,C0271429
C2604635,C0175167
C0108139,C0019342
C0041536,C1563054
C1566537,C0341439
C0036579,C0014488
C0073994,C0392784
C0060274,C0002831
C0218986,C0021099
C0040869,C1290159
C0069739,C0153579
C0145106,C0570328
C0017861,C0269398
C0071809,C0850149
C0019139,C0009773
C0663351,C0011606
C0771655,C0702166
C1321596,C0031485
C0142971,C0003469
C4055478,C0750197
C0054820,C0401149
C1311070,C0013371
C0209368,C0024623
C0034403,C1277187
C0074393,C0040264
C0084572,C0855112
C0039245,C2717961
C0012288,C0338437
C0027358,C2973725
C2742587,C0162568
C0677829,C0027849
C4731850,C0032749
C0040219,C0003492
C1435444,C0030193
C0537439,C0341439
C0002645,C0276648
C0525005,C0007193
C3179547,C0040252
C2697961,C0003868
C0075770,C0342881
C0074676,C0037317
C0145106,C0029882
C1562292,C0041952
C0069628,C1328504
C0066837,C0042974
C0076456,C0750979
C3851350,C0039483
C0063584,C0023461
C0030520,C0149871
C0025506,C0027831
C0023413,C0013884
C1722267,C0035335
C3501434,C0271429
C4723629,C0040921
C0058371,C0037274
C0376560,C0039841
C0002499,C0006060
C4519229,C0027726
C0075262,C0342938
C0031444,C0037195
C0053799,C0235238
C2350656,C0010418
C3832882,C2607914
C0032831,C0751964
C0663655,C1292758
C5139717,C0152072
C0051691,C0006309
C0039925,C0917798
C0016377,C0033578
C0068333,C0035435
C0031441,C0018133
C0937851,C1262117
C0008290,C0269398
C0081408,C1168250
C0054094,C0041408
C0039663,C0033581
C3502652,C0520777
C0054672,C0149782
C0008294,C0003492
C0066412,C0014752
C2745274,C0271578
C1144709,C0042875
C0118168,C0023281
C0733758,C0015503
C4277781,C0014550
C0022265,C0040185
C0031448,C0041351
C0011816,C0232849
C0076115,C0037195
C0289884,C0233494
C0012291,C0031046
C0768119,C0343804
C0288171,C0004943
C0003143,C0700502
C0142971,C0019187
C0386393,C0546999
C0015506|1351,C0278152
C0066837,C0020630
C0042523,C3697010
C0076115,C0020479
C0114873,C0751362
C5848169,C0013295
C0037533,C0392618
C0085237,C1609535
C0027360,C0278678
C0061323,C0851578
